gamma_sla,gamma_sf,status,objective,cost,cvar_sla,cvar_sf,model_cvar_sla,model_cvar_sf,posthoc_cvar_sla,posthoc_cvar_sf,posthoc_mean_sla_loss,posthoc_mean_sf_loss,posthoc_var_sla,posthoc_var_sf,reported_cvar_sla,reported_cvar_sf,reported_metric_source,posthoc_warning,exp_deliver,elapsed_sec,routing_mode,link_price_mode,pricing_profile,eta,scenario_s1_link_sigma,num_tasks,min_off_hub,s2_derate,scenario_mode,num_scenarios,scenario_guard_failed,umcf_access_sigma,virtual_edge_count,virtual_edge_price_policy,virtual_edge_sigma_policy,error
0.8,0.0401507537688442,OPTIMAL,-3214.6613839369184,3054.1983184743617,0.8,0.0401507537688442,0.8,0.0401507537688442,0.8,0.03768844221105527,0.8,0.0037688442211055275,0.8,0.03768844221105527,0.8,0.03768844221105527,posthoc,,6268.859702411281,0.046062499983236194,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,
0.8,0.04768844221105525,OPTIMAL,-3214.6613839369184,3054.1983184743617,0.8,0.04768844221105525,0.8,0.04768844221105525,0.8,0.03768844221105527,0.8,0.0037688442211055275,0.8,0.03768844221105527,0.8,0.03768844221105527,posthoc,,6268.859702411281,0.049807899980805814,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,
0.8,0.055226130653266294,OPTIMAL,-3214.6613839369184,3054.1983184743617,0.8,0.055226130653266294,0.8,0.055226130653266294,0.8,0.03768844221105527,0.8,0.0037688442211055275,0.8,0.03768844221105527,0.8,0.03768844221105527,posthoc,,6268.859702411281,0.04542629997013137,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,
1.0,0.0401507537688442,OPTIMAL,-4174.09598684997,1717.9276013766014,1.0,0.0401507537688442,1.0,0.0401507537688442,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.06032940000295639,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,
1.0,0.04768844221105525,OPTIMAL,-4174.09598684997,1717.9276013766014,1.0,0.04768844221105525,1.0,0.04768844221105525,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.0707595000276342,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,
1.0,0.055226130653266294,OPTIMAL,-4174.09598684997,1717.9276013766014,1.0,0.055226130653266294,1.0,0.055226130653266294,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.09872769995126873,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,
1.2,0.0401507537688442,OPTIMAL,-4174.09598684997,1717.9276013766014,1.2,0.0401507537688442,1.2,0.0401507537688442,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.09176109998952597,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,
1.2,0.04768844221105525,OPTIMAL,-4174.09598684997,1717.9276013766014,1.2,0.04768844221105525,1.2,0.04768844221105525,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.06455050001386553,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,
1.2,0.055226130653266294,OPTIMAL,-4174.09598684997,1717.9276013766014,1.2,0.055226130653266294,1.2,0.055226130653266294,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.06055019999621436,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,
