topology,num_tasks,demand_scale,stress_s1,min_off_hub,k_paths,model,lambda,status,optimal,cost,SLA_CVaR,nodeUtil_CVaR,link_CVaR,computeSf_CVaR,E_del_vol,obj_full,placement,notes
B4,8,25.0,1,2,4,Physical,0.5,4,0,,,,,,,,,
B4,8,25.0,1,2,4,teavar_sla,0.5,2,1,230.4060,1.0000,0.9169,,0.0000,6211.545,-5980.1803,"n0:2, n3:2, n5:1, n6:3",
B4,8,25.0,1,2,4,Physical,5.0,4,0,,,,,,,,,
B4,8,25.0,1,2,4,teavar_sla,5.0,2,1,230.4060,1.0000,0.9169,,0.0000,6211.545,-5975.6803,"n0:2, n3:2, n5:1, n6:3",
B4,8,25.0,1,2,4,Physical,50.0,4,0,,,,,,,,,
B4,8,25.0,1,2,4,teavar_sla,50.0,2,1,230.4060,1.0000,0.9169,,0.0000,6211.545,-5930.6803,"n0:2, n3:2, n5:1, n6:3",
B4,8,25.0,1,2,4,Model_C,,2,1,230.4060,1.5000,,,0.0000,6211.545,,"n0:2, n3:2, n5:1, n6:3",A@λ=50.0 Γ_sla=1.5000
B4,8,25.0,1,2,4,Model_A_monetary,5.0,2,1,230.4060,1.0000,,,,3309.51,,"n0:2, n3:2, n5:1, n6:3",E[L]=3309.51 CVaR(L)=10494.09
B4,8,25.0,1,2,4,Model_M,,2,1,229.8000,,,,,6392.54,10494.84,"n0:2, n3:1, n5:4, n6:1",CVaR(L)=10494.84
B4,8,25.0,1,2,4,Model_M-C,,2,1,229.3400,,,,,3309.83,11019.58,"n0:2, n3:3, n5:1, n6:2",Γ_money=11019.58 CVaR=10494.41
