topology,num_tasks,demand_scale,stress_s1,s1_link_k,umcf_teavar,virtual_source,access_sigma,min_off_hub,k_paths,model,lambda,status,optimal,cost,SLA_CVaR,nodeUtil_CVaR,link_CVaR,computeSf_CVaR,E_del_vol,obj_full,placement,notes
B4,8,25.0,0,4,0,1,0.9,2,4,Physical,0.5,2,1,101.1211,,0.9153,0.7637,,,101.9606,"n3:1, n5:5, n6:2",
B4,8,25.0,0,4,0,1,0.9,2,4,teavar_sla,0.5,2,1,100.9450,0.1000,0.9169,,0.0000,6144.676,-6043.2222,"n3:1, n5:5, n6:2",
B4,8,25.0,0,4,0,1,0.9,2,4,Physical,5.0,2,1,101.6635,,0.9153,0.4187,,,108.3338,"n3:1, n5:5, n6:2",
B4,8,25.0,0,4,0,1,0.9,2,4,teavar_sla,5.0,2,1,100.8586,0.1000,0.9153,,0.0000,6144.676,-6042.8594,"n3:1, n5:4, n6:3",
B4,8,25.0,0,4,0,1,0.9,2,4,Physical,50.0,2,1,102.2998,,0.8238,0.4187,,,164.4263,"n3:2, n5:4, n6:2",
B4,8,25.0,0,4,0,1,0.9,2,4,teavar_sla,50.0,2,1,100.8586,0.1000,0.9153,,0.0000,6144.676,-6038.3594,"n3:1, n5:4, n6:3",
B4,8,25.0,0,4,0,1,0.9,2,4,Model_C,,2,1,100.8586,0.1500,,,0.0000,6144.676,,"n3:1, n5:4, n6:3",A@λ=50.0 Γ_sla=0.1500
B4,8,25.0,0,4,0,1,0.9,2,4,Model_A_monetary,5.0,2,1,100.8586,0.1000,,,,3514.57,,"n3:1, n5:4, n6:3",E[L]=3514.57 CVaR(L)=3514.57
B4,8,25.0,0,4,0,1,0.9,2,4,Model_M,,2,1,98.4200,,,,,3514.56,3514.56,"n3:1, n5:5, n6:2",CVaR(L)=3514.56
B4,8,25.0,0,4,0,1,0.9,2,4,Model_M-C,,2,1,113.7400,,,,,3530.08,3690.29,"n3:1, n5:3, n6:3, n9:1",Γ_money=3690.29 CVaR=3530.08
