case,lambda,status,optimal,cost,SLA_CVaR,nodeUtil_CVaR,computeSf_CVaR,E_del_vol,placement,lambda_sensitive,stress_hub,s1_link_k,umcf,umcf_sigma,virtual_source,virtual_sigma,demand_scale,num_tasks
virtual_sigma090,0.1,2,1,100.9450,0.1000,0.9169,0.0000,6144.676,"n3:1, n5:5, n6:2",0,0,4,0,,1,0.9,25.0,8
virtual_sigma090,0.5,2,1,100.9450,0.1000,0.9169,0.0000,6144.676,"n3:1, n5:5, n6:2",0,0,4,0,,1,0.9,25.0,8
virtual_sigma090,1.0,2,1,100.9450,0.1000,0.9169,0.0000,6144.676,"n3:1, n5:5, n6:2",0,0,4,0,,1,0.9,25.0,8
virtual_sigma090,2.0,2,1,100.9450,0.1000,0.9169,0.0000,6144.676,"n3:1, n5:5, n6:2",0,0,4,0,,1,0.9,25.0,8
virtual_sigma090,5.0,2,1,100.8586,0.1000,0.9153,0.0000,6144.676,"n3:1, n5:4, n6:3",1,0,4,0,,1,0.9,25.0,8
virtual_sigma090,10.0,2,1,100.8586,0.1000,0.9153,0.0000,6144.676,"n3:1, n5:4, n6:3",0,0,4,0,,1,0.9,25.0,8
virtual_sigma090,20.0,2,1,100.8586,0.1000,0.9153,0.0000,6144.676,"n3:1, n5:4, n6:3",0,0,4,0,,1,0.9,25.0,8
virtual_sigma090,50.0,2,1,100.8586,0.1000,0.9153,0.0000,6144.676,"n3:1, n5:4, n6:3",0,0,4,0,,1,0.9,25.0,8
virtual_sigma090,100.0,2,1,100.8586,0.1000,0.9153,0.0000,6144.676,"n3:1, n5:4, n6:3",0,0,4,0,,1,0.9,25.0,8
virtual_sigma090,200.0,2,1,100.8586,0.1000,0.9153,0.0000,6144.676,"n3:1, n5:4, n6:3",0,0,4,0,,1,0.9,25.0,8
virtual_sigma090,500.0,2,1,100.8586,0.1000,0.9153,0.0000,6144.676,"n3:1, n5:4, n6:3",0,0,4,0,,1,0.9,25.0,8
